State Category,Subcategory,Group Category,Statutory Title,Statute Number,Authority Type,Alternate Citations,Record Type,Offense Description,Consequence Category,Lifecycle Stage,Offense Classification,DOC Seriousness Level,Internal Screening Tier,Violent Offense,Act 659,Max Jail Time,Max Financial Fine,PAA Release Tier,Release Code,Release Parole Tier Full,Jail Only,Prison Eligible,Probation Eligible,SIS / Suspended Sentence,Parole Eligible,Mandatory Minimum,Earned Time Credits,Good Time Eligible,Electronic Monitoring,Work Release Eligible,Sealing Eligible,Sealing Waiting Period,Expungement Eligible,Pardon Eligible,Firearm Rights Restorable,Voting Rights Restored,Juvenile Sealing Available,License Impact,BTB Status,Consequence Severity,Key Collateral Consequences Raw,Collateral Firearms,Collateral Immigration,Collateral Voting,Collateral Housing Benefits,Collateral Registry,Collateral Employment,Source Citation,Research Status,Statute Version,Last Verified Date,Last Updated By,Corrections & Relief Key
Record Relief Frameworks,Pardon / Restoration,Group 2: Record Relief,Certificate of Rehabilitation / Post-Conviction Relief,Ark. Code Ann. § 16-93-1001,Arkansas Code,Ark. Code Ann. § 16-93-1001 | Arkansas Code Annotated § 16-93-1001 | Arkansas Code § 16-93-1001 | A.C.A. § 16-93-1001 | A.C.A. 16-93-1001 | ACA § 16-93-1001 | ACA 16-93-1001 | Ark.Code Ann.16-93-1001 | Ark Code 16-93-1001 | Ark. Code 16-93-1001 | ar code sect 16-93-1001 | § 16-93-1001 | A.C.A.§ 16-93-1001 | A.C.A.§16-93-1001 | §16-93-1001 | 16-93-1001 | 16931001 | 16 93 1001 | 16/93/1001 | 16_93_1001,Record Relief,Certificate of Rehabilitation – Court-issued document demonstrating rehabilitation; may mitigate collateral consequences for employment and licensing even where full expungement is unavailable.,Record Relief,Record Relief,N/A (Relief Mechanism),,,,,,,,,,,,,,,,,,,,Conditional (informal mechanism),,,,,,,Rehabilitation evidence considered in discretionary license reviews; not binding but persuasive for boards with discretionary authority,No formal BTB protection but may reduce employment screening barriers,1 – Minor Misdemeanor,"Arkansas does not have a formal Certificate of Rehabilitation statute equivalent to California or New York; however, courts may issue letters of rehabilitation or recommendation in support of pardon or licensing applications; Board of Corrections may issue compliance certificates; these are persuasive but not legally binding on licensing boards; some professional boards give weight to demonstrated rehabilitation in discretionary licensing reviews",None indicated,None indicated,None indicated,None indicated,None indicated,May support employment applications where discretionary hiring authority exists,Ark. Code Ann. § 16-93-1001 | Post-Conviction Relief / Rehabilitation Evidence,Verified,2025,2025-06,,"CORRECTIONS & RELEASE
Yes = Definitively eligible
No = Not available
Eligible = Subject to standard rules
Court Discretion = Requires judicial approval
Limited = Restricted circumstances only
N/A = Not applicable

RECORD RELIEF
Yes = Eligible under AR sealing/expungement rules
Conditional = Subject to waiting period or court approval
No = Not eligible under Arkansas law
Yes (Governor) = Eligible for AR Governor's pardon

SEVERITY: 1=Minor Misd | 2=Std Misd | 3=NV Felony | 4=Violent Felony | 5=Permanent/Lifetime

RESEARCH STATUS: Verified | Needs Review | Pending"
Moving Violations & Traffic Offenses,Reckless Driving — 1st Offense (Civil Traffic Forfeiture),Group 2: Transportation & Licensing,Uniform Act Regulating Traffic,A.C.A. § 27-51-104,Arkansas Code,Ark. Code Ann. § 27-51-104 | Arkansas Code Annotated § 27-51-104 | Arkansas Code § 27-51-104 | A.C.A. § 27-51-104 | A.C.A. 27-51-104 | ACA § 27-51-104 | ACA 27-51-104 | Ark.Code Ann.27-51-104 | Ark Code 27-51-104 | Ark. Code 27-51-104 | ar code sect 27-51-104 | § 27-51-104 | A.C.A.§ 27-51-104 | A.C.A.§27-51-104 | §27-51-104 | 27-51-104 | 2751104 | 27-51-0104 | 27 51 104 | 27/51/104 | 27_51_104,Criminal Conviction,Reckless Driving – Driving in willful or wanton disregard for the safety of persons or property.,Transportation,Conviction,Unclassified Misdemeanor,,Tier 1,No,No,90 days (First) / 6 months (Subsequent),$500,Misdemeanor Track,LOCAL,Standard,Yes,No,Yes,Yes,,N/A (local),Yes,Yes,Court Discretion,Eligible,Conditional,,Yes,Yes (Governor),Conditional (state restoration possible; federal law applies),Upon completion of sentence,N/A (adult offense),Mandatory 1-to-12 month suspension if causing serious injury.,Standard,1 – Minor Misdemeanor,Driving Record (MVR) History; reinstatement fees apply; bars commercial driving and delivery roles,None indicated,None indicated,None indicated,None indicated,MVR History,Moderate — bars commercial driving and delivery roles,Ark. Code Ann. A.C.A. § 27-51-104 | Uniform Act Regulating Traffic,Verified,2025,2025-06,,"CORRECTIONS & RELEASE
Yes=Definitively eligible | No=Not available
Eligible=Subject to standard rules | Court Discretion=Requires judicial approval
Limited=Restricted circumstances | N/A=Not applicable

RECORD RELIEF
Yes=Eligible under AR rules | Conditional=Subject to conditions
No=Not eligible | Yes (Governor)=AR Governor's pardon eligible

SEVERITY: 1=Minor Misd | 2=Std Misd | 3=NV Felony | 4=Violent Felony | 5=Permanent/Lifetime

RESEARCH STATUS: Verified | Needs Review | Pending"
Moving Violations & Traffic Offenses,Hit and Run — Property Damage Only (Misdemeanor),Group 2: Transportation & Licensing,Uniform Act Regulating Traffic,A.C.A. § 27-53-101,Arkansas Code,Ark. Code Ann. § 27-53-101 | Arkansas Code Annotated § 27-53-101 | Arkansas Code § 27-53-101 | A.C.A. § 27-53-101 | A.C.A. 27-53-101 | ACA § 27-53-101 | ACA 27-53-101 | Ark.Code Ann.27-53-101 | Ark Code 27-53-101 | Ark. Code 27-53-101 | ar code sect 27-53-101 | § 27-53-101 | A.C.A.§ 27-53-101 | A.C.A.§27-53-101 | §27-53-101 | 27-53-101 | 2753101 | 27-53-0101 | 27 53 101 | 27/53/101 | 27_53_101,Criminal Conviction,Leaving Scene of Accident (Hit and Run) – Failing to stop and remain at the scene of an accident involving injury or death.,Transportation,Conviction,Class D Felony (if injury/death) / Class A Misdemeanor,,Tier 2,Yes,No,6 years (Felony) / 1 year (Misdemeanor),"$10,000 (Felony) / $2,500 (Misdemeanor)",Standard Felony / Misdemeanor Track,LOCAL,Standard,No,Yes,Eligible,Yes,,N/A (local),Yes,Limited,Court Discretion,No,Conditional,3 years,Conditional,Yes (Governor),Yes,Upon completion of sentence including supervision,N/A (adult offense),Mandatory revocation of driver's license upon conviction.,Excluded if prosecuted as a felony,3 – Non-Violent Felony,"Driving Record (MVR) / NCIC if Felony; reinstatement fees apply; terminates commercial driving, corporate fleet, logistics careers",None indicated,Potential removable offense under INA,Voting rights restrictions (state-dependent),Federal housing/benefits restrictions,MVR / NCIC (if Felony),"High — terminates commercial driving, corporate fleet, logistics careers",Ark. Code Ann. A.C.A. § 27-53-101 | Uniform Act Regulating Traffic,Verified,2025,2025-06,,"CORRECTIONS & RELEASE
Yes=Definitively eligible | No=Not available
Eligible=Subject to standard rules | Court Discretion=Requires judicial approval
Limited=Restricted circumstances | N/A=Not applicable

RECORD RELIEF
Yes=Eligible under AR rules | Conditional=Subject to conditions
No=Not eligible | Yes (Governor)=AR Governor's pardon eligible

SEVERITY: 1=Minor Misd | 2=Std Misd | 3=NV Felony | 4=Violent Felony | 5=Permanent/Lifetime

RESEARCH STATUS: Verified | Needs Review | Pending"
Moving Violations & Traffic Offenses,Reckless Driving — 1st Offense (Civil Traffic Forfeiture),Group 2: Transportation & Licensing,Arkansas Criminal Code,A.C.A. § 5-54-125,Arkansas Code,Ark. Code Ann. § 5-54-125 | Arkansas Code Annotated § 5-54-125 | Arkansas Code § 5-54-125 | A.C.A. § 5-54-125 | A.C.A. 5-54-125 | ACA § 5-54-125 | ACA 5-54-125 | Ark.Code Ann.5-54-125 | Ark Code 5-54-125 | Ark. Code 5-54-125 | ar code sect 5-54-125 | § 5-54-125 | A.C.A.§ 5-54-125 | A.C.A.§5-54-125 | §5-54-125 | 5-54-125 | 554125 | 05-54-125 | 05-54-0125 | 5 54 125 | 5/54/125 | 5_54_125,Criminal Conviction,Fleeing by Vehicle – Purposely fleeing in a motor vehicle from a law enforcement officer signaling to stop.,Transportation,Conviction,Class D Felony (if danger created) / Class A Misdemeanor,,Tier 2,Yes,No,6 years (Felony) / 1 year (Misdemeanor),"$10,000 (Felony) / $2,500 (Misdemeanor)",Standard Felony / Misdemeanor Track,LOCAL,Standard,No,Yes,Eligible,Yes,,N/A (local),Yes,Limited,Court Discretion,No,Conditional,3 years,Conditional,Yes (Governor),Yes,Upon completion of sentence including supervision,N/A (adult offense),Mandatory suspension from 6 months up to 1 year.,Excluded if prosecuted as a felony,3 – Non-Violent Felony,"Driving Record (MVR) / NCIC if Felony; complete bar on law enforcement, logistics, corporate transit",None indicated,Potential removable offense under INA,Voting rights restrictions (state-dependent),Federal housing/benefits restrictions,MVR / NCIC (if Felony),"High — complete bar on law enforcement, logistics, corporate transit",Ark. Code Ann. A.C.A. § 5-54-125 | Arkansas Criminal Code,Verified,2025,2025-06,,"CORRECTIONS & RELEASE
Yes=Definitively eligible | No=Not available
Eligible=Subject to standard rules | Court Discretion=Requires judicial approval
Limited=Restricted circumstances | N/A=Not applicable

RECORD RELIEF
Yes=Eligible under AR rules | Conditional=Subject to conditions
No=Not eligible | Yes (Governor)=AR Governor's pardon eligible

SEVERITY: 1=Minor Misd | 2=Std Misd | 3=NV Felony | 4=Violent Felony | 5=Permanent/Lifetime

RESEARCH STATUS: Verified | Needs Review | Pending"
Impaired Driving,DUI / DWI — General (Criminal),Group 2: Transportation & Licensing,Omnibus Driving Under the Influence Act,A.C.A. § 5-65-205,Arkansas Code,Ark. Code Ann. § 5-65-205 | Arkansas Code Annotated § 5-65-205 | Arkansas Code § 5-65-205 | A.C.A. § 5-65-205 | A.C.A. 5-65-205 | ACA § 5-65-205 | ACA 5-65-205 | Ark.Code Ann.5-65-205 | Ark Code 5-65-205 | Ark. Code 5-65-205 | ar code sect 5-65-205 | § 5-65-205 | A.C.A.§ 5-65-205 | A.C.A.§5-65-205 | §5-65-205 | 5-65-205 | 565205 | 05-65-205 | 05-65-0205 | 5 65 205 | 5/65/205 | 5_65_205,Criminal Conviction,"Implied Consent / Refusal – Refusing to submit to a chemical test of breath, blood, or urine for DWI detection.",Transportation,Conviction,Civil Administrative Violation,,,No,No,None (purely administrative),None (fines tied to parallel DWI),,,,No,No,Yes,Yes,Yes (standard),,Yes,Yes,Court Discretion,Eligible,Conditional,,Yes,Yes (Governor),Conditional (state restoration possible; federal law applies),Upon completion of sentence,N/A (adult offense),Mandatory suspension for 180 days (First) up to 3 years.,N/A (Civil regulatory),3 – Non-Violent Felony,Driving Record (MVR) / National Driver Register; $150–$500 reinstatement penalty fee; blocks commercial driving until reinstatement,None indicated,None indicated,None indicated,None indicated,MVR / National Driver Register,Moderate — blocks commercial driving until reinstatement,Ark. Code Ann. A.C.A. § 5-65-205 | Omnibus Driving Under the Influence Act,Verified,2025,2025-06,,"CORRECTIONS & RELEASE
Yes=Definitively eligible | No=Not available
Eligible=Subject to standard rules | Court Discretion=Requires judicial approval
Limited=Restricted circumstances | N/A=Not applicable

RECORD RELIEF
Yes=Eligible under AR rules | Conditional=Subject to conditions
No=Not eligible | Yes (Governor)=AR Governor's pardon eligible

SEVERITY: 1=Minor Misd | 2=Std Misd | 3=NV Felony | 4=Violent Felony | 5=Permanent/Lifetime

RESEARCH STATUS: Verified | Needs Review | Pending"
Drug Offenses,Possession,Group 2: Drug Crimes,Uniform Controlled Substances Act,A.C.A. § 5-64-443,Arkansas Code,Ark. Code Ann. § 5-64-443 | Arkansas Code Annotated § 5-64-443 | Arkansas Code § 5-64-443 | A.C.A. § 5-64-443 | A.C.A. 5-64-443 | ACA § 5-64-443 | ACA 5-64-443 | Ark.Code Ann.5-64-443 | Ark Code 5-64-443 | Ark. Code 5-64-443 | ar code sect 5-64-443 | § 5-64-443 | A.C.A.§ 5-64-443 | A.C.A.§5-64-443 | §5-64-443 | 5-64-443 | 564443 | 05-64-443 | 05-64-0443 | 5 64 443 | 5/64/443 | 5_64_443,Criminal Conviction,"Drug Paraphernalia – Possessing items to plant, propagate, cultivate, harvest, pack, store, or inject drugs.",Criminal,Conviction,Class B/C Felony (Meth/Cocaine) / Class A Misdemeanor,,Tier 4,No,No,20 years (Class B) / 1 year (Misdemeanor),"$15,000",Standard Felony Track,GRID,Standard,No,Yes,Eligible,Yes,Yes (standard),,Yes,Yes,Court Discretion,Eligible,Conditional,3 years,Conditional,Yes (Governor),Yes,Upon completion of sentence including supervision,N/A (adult offense),"Auto-bar: HC, ED | Board review: LE, SW, FIN",Excluded due to felony tier,4 – Violent/Serious Felony,"Criminal History (NCIC); bars corporate, education, and healthcare roles",None indicated,Potential removable offense under INA,Voting rights restrictions (state-dependent),Federal housing/benefits restrictions,Criminal History (NCIC),"High — bars corporate, education, and healthcare roles",Ark. Code Ann. A.C.A. § 5-64-443 | Uniform Controlled Substances Act,Verified,2025,2025-06,,"CORRECTIONS & RELEASE
Yes=Definitively eligible | No=Not available
Eligible=Subject to standard rules | Court Discretion=Requires judicial approval
Limited=Restricted circumstances | N/A=Not applicable

RECORD RELIEF
Yes=Eligible under AR rules | Conditional=Subject to conditions
No=Not eligible | Yes (Governor)=AR Governor's pardon eligible

SEVERITY: 1=Minor Misd | 2=Std Misd | 3=NV Felony | 4=Violent Felony | 5=Permanent/Lifetime

RESEARCH STATUS: Verified | Needs Review | Pending"
Drug Offenses,Other Drug Offenses,Group 2: Drug Crimes,Uniform Controlled Substances Act,A.C.A. § 5-64-402,Arkansas Code,Ark. Code Ann. § 5-64-402 | Arkansas Code Annotated § 5-64-402 | Arkansas Code § 5-64-402 | A.C.A. § 5-64-402 | A.C.A. 5-64-402 | ACA § 5-64-402 | ACA 5-64-402 | Ark.Code Ann.5-64-402 | Ark Code 5-64-402 | Ark. Code 5-64-402 | ar code sect 5-64-402 | § 5-64-402 | A.C.A.§ 5-64-402 | A.C.A.§5-64-402 | §5-64-402 | 5-64-402 | 564402 | 05-64-402 | 05-64-0402 | 5 64 402 | 5/64/402 | 5_64_402,Criminal Conviction,"Maintaining Drug Premises – Knowingly keeping/maintaining a structure, vehicle, or facility used for drug activities.",Criminal,Conviction,Class C Felony / Class D Felony,,Tier 3,No,No,10 years (Class C) / 6 years (Class D),"$10,000",Standard Felony Track,GRID,Standard,No,Yes,Eligible,Yes,Yes (standard),,Yes,Yes,Court Discretion,Eligible,Conditional,5 years,Conditional,Yes (Governor),Conditional (state restoration possible; federal law applies),Upon completion of sentence including supervision,N/A (adult offense),Suspension of business licensing and corporate charters.,Excluded due to felony tier,3 – Non-Violent Felony,"Criminal History (NCIC); property subject to asset forfeiture; bars real estate, management, and licensing",None indicated,Potential removable offense under INA,Voting rights restrictions (state-dependent),Federal housing/benefits restrictions,Criminal History (NCIC),"High — bars real estate, management, and licensing",Ark. Code Ann. A.C.A. § 5-64-402 | Uniform Controlled Substances Act,Verified,2025,2025-06,,"CORRECTIONS & RELEASE
Yes=Definitively eligible | No=Not available
Eligible=Subject to standard rules | Court Discretion=Requires judicial approval
Limited=Restricted circumstances | N/A=Not applicable

RECORD RELIEF
Yes=Eligible under AR rules | Conditional=Subject to conditions
No=Not eligible | Yes (Governor)=AR Governor's pardon eligible

SEVERITY: 1=Minor Misd | 2=Std Misd | 3=NV Felony | 4=Violent Felony | 5=Permanent/Lifetime

RESEARCH STATUS: Verified | Needs Review | Pending"
Drug Offenses,Other Drug Offenses,Group 2: Drug Crimes,Uniform Controlled Substances Act,A.C.A. § 5-74-106,Arkansas Code,Ark. Code Ann. § 5-74-106 | Arkansas Code Annotated § 5-74-106 | Arkansas Code § 5-74-106 | A.C.A. § 5-74-106 | A.C.A. 5-74-106 | ACA § 5-74-106 | ACA 5-74-106 | Ark.Code Ann.5-74-106 | Ark Code 5-74-106 | Ark. Code 5-74-106 | ar code sect 5-74-106 | § 5-74-106 | A.C.A.§ 5-74-106 | A.C.A.§5-74-106 | §5-74-106 | 5-74-106 | 574106 | 05-74-106 | 05-74-0106 | 5 74 106 | 5/74/106 | 5_74_106,Criminal Conviction,Simultaneous Possession – Possessing a firearm while simultaneously possessing a felony quantity of drugs.,Criminal,Conviction,Class Y Felony (Highest non-capital category),,Tier 5,Yes,No,10 to 40 years or Life,"$25,000",70% Restrictive Track (No early parole),GRID70,Restrictive Board Review,No,Yes,Eligible,No,Yes (70% minimum),70%,Limited,Limited,No,No,No,N/A (ineligible),No,Yes (Governor),Conditional (state restoration possible; federal law applies),N/A (LWOP/Death),N/A (adult offense),"Immediate, permanent forfeiture of all professional/state licenses.",Completely Excluded,5 – Permanent/Lifetime,Criminal History (NCIC); weapon and vehicle asset forfeiture; permanent total lifetime block across all employment sectors,Federal prohibition under 18 U.S.C. § 922(g),Potential removable offense under INA,Voting rights restrictions (state-dependent),Federal housing/benefits restrictions,Criminal History (NCIC),Permanent — total lifetime block across all employment sectors,Ark. Code Ann. A.C.A. § 5-74-106 | Uniform Controlled Substances Act,Verified,2025,2025-06,,"CORRECTIONS & RELEASE
Yes=Definitively eligible | No=Not available
Eligible=Subject to standard rules | Court Discretion=Requires judicial approval
Limited=Restricted circumstances | N/A=Not applicable

RECORD RELIEF
Yes=Eligible under AR rules | Conditional=Subject to conditions
No=Not eligible | Yes (Governor)=AR Governor's pardon eligible

SEVERITY: 1=Minor Misd | 2=Std Misd | 3=NV Felony | 4=Violent Felony | 5=Permanent/Lifetime

RESEARCH STATUS: Verified | Needs Review | Pending"
Drug Offenses,Other Drug Offenses,Group 2: Drug Crimes,Uniform Controlled Substances Act,A.C.A. § 5-64-403,Arkansas Code,Ark. Code Ann. § 5-64-403 | Arkansas Code Annotated § 5-64-403 | Arkansas Code § 5-64-403 | A.C.A. § 5-64-403 | A.C.A. 5-64-403 | ACA § 5-64-403 | ACA 5-64-403 | Ark.Code Ann.5-64-403 | Ark Code 5-64-403 | Ark. Code 5-64-403 | ar code sect 5-64-403 | § 5-64-403 | A.C.A.§ 5-64-403 | A.C.A.§5-64-403 | §5-64-403 | 5-64-403 | 564403 | 05-64-403 | 05-64-0403 | 5 64 403 | 5/64/403 | 5_64_403,Criminal Conviction,"Doctor Shopping / Rx Fraud – Obtaining controlled substances by fraud, deceit, misrepresentation, or concealment.",Criminal,Conviction,Class C Felony / Class D Felony,,Tier 3,No,No,10 years (Class C) / 6 years (Class D),"$10,000",Standard Felony Track,GRID,Standard,No,Yes,Eligible,Yes,Yes (standard),,Yes,Yes,Court Discretion,Eligible,Conditional,5 years,Conditional,Yes (Governor),Conditional (state restoration possible; federal law applies),Upon completion of sentence including supervision,N/A (adult offense),"Mandatory revocation of nursing, medical, or pharmacy licenses.",Excluded (Fiduciary/Healthcare),3 – Non-Violent Felony,National Practitioner Data Bank; board administrative fines; permanent absolute lifetime lockout from all healthcare sectors,None indicated,Potential removable offense under INA,Voting rights restrictions (state-dependent),Federal housing/benefits restrictions,National Practitioner Data Bank (NPDB),Permanent — absolute lifetime lockout from all healthcare sectors,Ark. Code Ann. A.C.A. § 5-64-403 | Uniform Controlled Substances Act,Verified,2025,2025-06,,"CORRECTIONS & RELEASE
Yes=Definitively eligible | No=Not available
Eligible=Subject to standard rules | Court Discretion=Requires judicial approval
Limited=Restricted circumstances | N/A=Not applicable

RECORD RELIEF
Yes=Eligible under AR rules | Conditional=Subject to conditions
No=Not eligible | Yes (Governor)=AR Governor's pardon eligible

SEVERITY: 1=Minor Misd | 2=Std Misd | 3=NV Felony | 4=Violent Felony | 5=Permanent/Lifetime

RESEARCH STATUS: Verified | Needs Review | Pending"
Drug Offenses,Other Drug Offenses,Group 2: Drug Crimes,Uniform Controlled Substances Act,A.C.A. § 5-64-441,Arkansas Code,Ark. Code Ann. § 5-64-441 | Arkansas Code Annotated § 5-64-441 | Arkansas Code § 5-64-441 | A.C.A. § 5-64-441 | A.C.A. 5-64-441 | ACA § 5-64-441 | ACA 5-64-441 | Ark.Code Ann.5-64-441 | Ark Code 5-64-441 | Ark. Code 5-64-441 | ar code sect 5-64-441 | § 5-64-441 | A.C.A.§ 5-64-441 | A.C.A.§5-64-441 | §5-64-441 | 5-64-441 | 564441 | 05-64-441 | 05-64-0441 | 5 64 441 | 5/64/441 | 5_64_441,Criminal Conviction,"Counterfeit Substances – Creating, delivering, or possessing with intent to deliver a counterfeit substance.",Criminal,Conviction,Class B Felony / Class C Felony,,Tier 4,No,No,20 years (Class B) / 10 years (Class C),"$15,000",Standard Felony Track,GRID,Standard,No,Yes,Eligible,Yes,Yes (standard),,Yes,Yes,Court Discretion,Eligible,Conditional,5 years,Conditional,Yes (Governor),Conditional (state restoration possible; federal law applies),Upon completion of sentence including supervision,N/A (adult offense),"Revocation of manufacturing, pharmaceutical, or corporate licenses.",Excluded due to felony tier,4 – Violent/Serious Felony,"Criminal History (NCIC); bars chemical manufacturing, pharmacy, logistics",None indicated,Potential removable offense under INA,Voting rights restrictions (state-dependent),Federal housing/benefits restrictions,Criminal History (NCIC),"High — bars chemical manufacturing, pharmacy, logistics",Ark. Code Ann. A.C.A. § 5-64-441 | Uniform Controlled Substances Act,Verified,2025,2025-06,,"CORRECTIONS & RELEASE
Yes=Definitively eligible | No=Not available
Eligible=Subject to standard rules | Court Discretion=Requires judicial approval
Limited=Restricted circumstances | N/A=Not applicable

RECORD RELIEF
Yes=Eligible under AR rules | Conditional=Subject to conditions
No=Not eligible | Yes (Governor)=AR Governor's pardon eligible

SEVERITY: 1=Minor Misd | 2=Std Misd | 3=NV Felony | 4=Violent Felony | 5=Permanent/Lifetime

RESEARCH STATUS: Verified | Needs Review | Pending"
Drug Offenses,Manufacturing / Production,Group 2: Drug Crimes,Uniform Controlled Substances Act,A.C.A. § 5-64-444,Arkansas Code,Ark. Code Ann. § 5-64-444 | Arkansas Code Annotated § 5-64-444 | Arkansas Code § 5-64-444 | A.C.A. § 5-64-444 | A.C.A. 5-64-444 | ACA § 5-64-444 | ACA 5-64-444 | Ark.Code Ann.5-64-444 | Ark Code 5-64-444 | Ark. Code 5-64-444 | ar code sect 5-64-444 | § 5-64-444 | A.C.A.§ 5-64-444 | A.C.A.§5-64-444 | §5-64-444 | 5-64-444 | 564444 | 05-64-444 | 05-64-0444 | 5 64 444 | 5/64/444 | 5_64_444,Criminal Conviction,"Meth Lab Equipment – Possessing equipment, products, or materials with intent to manufacture methamphetamine; items include pseudoephedrine, glassware, tubing, or other lab apparatus.",Criminal,Conviction,Class B Felony,,Tier 4,No,No,20 years,"$15,000",Standard Felony Track,GRID,Standard,No,Yes,Eligible,Yes,Yes (standard),,Yes,Yes,Court Discretion,Eligible,Conditional,5 years,Conditional,Yes (Governor),Conditional (state restoration possible; federal law applies),Upon completion of sentence including supervision,N/A (adult offense),Immediate forfeiture of all professional/industrial licenses.,Excluded,4 – Violent/Serious Felony,"DEQ Contaminated Property List / NCIC; mandatory cleanup costs; bars industrial, chemical, and logistics roles",None indicated,Potential removable offense under INA,Voting rights restrictions (state-dependent),Federal housing/benefits restrictions,DEQ Contaminated Property List / NCIC,"High — bars industrial, chemical, and logistics roles",Ark. Code Ann. § 5-64-444 | Uniform Controlled Substances Act,Verified,2025,2025-06,,"CORRECTIONS & RELEASE
Yes=Definitively eligible | No=Not available
Eligible=Subject to standard rules | Court Discretion=Requires judicial approval
Limited=Restricted circumstances | N/A=Not applicable

RECORD RELIEF
Yes=Eligible under AR rules | Conditional=Subject to conditions
No=Not eligible | Yes (Governor)=AR Governor's pardon eligible

SEVERITY: 1=Minor Misd | 2=Std Misd | 3=NV Felony | 4=Violent Felony | 5=Permanent/Lifetime

RESEARCH STATUS: Verified | Needs Review | Pending"
Drug Offenses,Manufacturing / Production,Group 2: Drug Crimes,Uniform Controlled Substances Act,A.C.A. § 5-64-415,Arkansas Code,Ark. Code Ann. § 5-64-415 | Arkansas Code Annotated § 5-64-415 | Arkansas Code § 5-64-415 | A.C.A. § 5-64-415 | A.C.A. 5-64-415 | ACA § 5-64-415 | ACA 5-64-415 | Ark.Code Ann.5-64-415 | Ark Code 5-64-415 | Ark. Code 5-64-415 | ar code sect 5-64-415 | § 5-64-415 | A.C.A.§ 5-64-415 | A.C.A.§5-64-415 | §5-64-415 | 5-64-415 | 564415 | 05-64-415 | 05-64-0415 | 5 64 415 | 5/64/415 | 5_64_415,Criminal Conviction,"Precursor Chemicals (Anhydrous Ammonia) – Possessing anhydrous ammonia with intent to manufacture methamphetamine; includes unlawful storage, transport, or transfer of anhydrous ammonia in non-approved containers.",Criminal,Conviction,Class B Felony,,Tier 4,No,No,20 years,"$15,000",Standard Felony Track,GRID,Standard,No,Yes,Eligible,Yes,Yes (standard),,Yes,Yes,Court Discretion,Eligible,Conditional,5 years,Conditional,Yes (Governor),Conditional (state restoration possible; federal law applies),Upon completion of sentence including supervision,N/A (adult offense),Immediate forfeiture of all professional/industrial licenses.,Excluded,4 – Violent/Serious Felony,"DEQ Contaminated Property List / NCIC; mandatory environmental cleanup costs under DEQ authority; anhydrous ammonia misuse triggers separate DEQ regulatory violations; bars industrial, chemical, and agricultural supply roles",None indicated,Potential removable offense under INA,Voting rights restrictions (state-dependent),Federal housing/benefits restrictions,DEQ Contaminated Property List / NCIC,"High — bars industrial, chemical, and logistics roles",Ark. Code Ann. § 5-64-415 | Uniform Controlled Substances Act,Verified,2025,2025-06,,"CORRECTIONS & RELEASE
Yes=Definitively eligible | No=Not available
Eligible=Subject to standard rules | Court Discretion=Requires judicial approval
Limited=Restricted circumstances | N/A=Not applicable

RECORD RELIEF
Yes=Eligible under AR rules | Conditional=Subject to conditions
No=Not eligible | Yes (Governor)=AR Governor's pardon eligible

SEVERITY: 1=Minor Misd | 2=Std Misd | 3=NV Felony | 4=Violent Felony | 5=Permanent/Lifetime

RESEARCH STATUS: Verified | Needs Review | Pending"
Drug Offenses,Other Drug Offenses,Group 2: Drug Crimes,Uniform Controlled Substances Act,A.C.A. § 5-64-411,Arkansas Code,Ark. Code Ann. § 5-64-411 | Arkansas Code Annotated § 5-64-411 | Arkansas Code § 5-64-411 | A.C.A. § 5-64-411 | A.C.A. 5-64-411 | ACA § 5-64-411 | ACA 5-64-411 | Ark.Code Ann.5-64-411 | Ark Code 5-64-411 | Ark. Code 5-64-411 | ar code sect 5-64-411 | § 5-64-411 | A.C.A.§ 5-64-411 | A.C.A.§5-64-411 | §5-64-411 | 5-64-411 | 564411 | 05-64-411 | 05-64-0411 | 5 64 411 | 5/64/411 | 5_64_411,Criminal Conviction,"Drug-Free Zone Enhancements – Manufacturing, delivering, or possessing drugs within 1,000 feet of schools, parks, or youth centers.",Criminal,Sentencing,Sentence Enhancement (Appends to underlying felony),,Tier 3,No,No,Adds 10 mandatory years to sentence,Doubles underlying fine scale,Ineligible for early release on enhanced portion,GRID,Restrictive,No,Yes,Eligible,Yes,Yes (standard),,Yes,Yes,Court Discretion,Eligible,Conditional,5 years,Conditional,Yes (Governor),Conditional (state restoration possible; federal law applies),Upon completion of sentence including supervision,N/A (adult offense),Permanent revocation of educator or youth-facing credentials.,Completely Excluded,3 – Non-Violent Felony,"Criminal History (NCIC); permanent absolute ban on schools, parks, and youth coaching",None indicated,Potential removable offense under INA,Voting rights restrictions (state-dependent),Federal housing/benefits restrictions,Criminal History (NCIC),"Permanent — absolute ban on schools, parks, and youth coaching",Ark. Code Ann. A.C.A. § 5-64-411 | Uniform Controlled Substances Act,Verified,2025,2025-06,,"CORRECTIONS & RELEASE
Yes=Definitively eligible | No=Not available
Eligible=Subject to standard rules | Court Discretion=Requires judicial approval
Limited=Restricted circumstances | N/A=Not applicable

RECORD RELIEF
Yes=Eligible under AR rules | Conditional=Subject to conditions
No=Not eligible | Yes (Governor)=AR Governor's pardon eligible

SEVERITY: 1=Minor Misd | 2=Std Misd | 3=NV Felony | 4=Violent Felony | 5=Permanent/Lifetime

RESEARCH STATUS: Verified | Needs Review | Pending"
