Row_Count,State_Category,Subcategory,Group_Category,Statutory_Title,Statute_Number,Authority_Type,Alternate_Citations,Record_Type,Offense_Description,Consequence_Category,Lifecycle_Stage,Offense_Classification,DOC_Seriousness_Level,Internal_Screening_Tier,Violent_Offense,Act_659_State_Equiv,Max_Jail_Prison_Time,Max_Financial_Fine,PAA_Release_Tier,Release_Code,Release_Parole_Tier,Jail_Only,Prison_Eligible,Probation_Eligible,SIS_Suspended_Sentence,Parole_Eligible,Mandatory_Minimum,Earned_Time_Credits,Good_Time_Eligible,Electronic_Monitoring,Work_Release_Eligible,Sealing_Eligible,Sealing_Waiting_Period,Expungement_Eligible,Pardon_Eligible,Firearm_Rights_Restoration,Voting_Rights_Restored,Juvenile_Sealing_Avail,License_Impact,BTB_Status,Consequence_Severity,Collateral_Raw_Summary,Collateral_Firearms,Collateral_Immigration,Collateral_Voting,Collateral_Housing,Collateral_Registry,Collateral_Employment,Source_Citation,Research_Status,Statute_Version,Last_Verified_Date,Last_Updated_By,Corrections_Key,Reportable_Scope
877,Financial Crimes,Credit Card / Financial Device Fraud,Property Offenses,Identity Theft - Facilitation of Large-Scale Identity Theft Network - Arrest Record,720 ILCS 5/16-30(c)-A,Statutory State Code,"720 ILCS 5/16-30(c)-A, 720ILCS5/16-30-A, 720ILCS51630cA",Arrest Record / Dropped Charges,"Custodial arrest or formal charging instrument filed for facilitating an identity theft network, resulting in an acquittal, dismissal, or dropped charges",Administrative / Non-Conviction,Pre-Disposition / Dismissed Non-Conviction Entry,,,Tier 2 Conditional Adjudication Review,No,Not Applicable,0 Days,$0,Level 1 Unrestricted,IL-NONCONV,,No,No,No,Not Applicable,No,,Not Applicable,No,No,No,Yes,Immediate upon official dismissal/acquittal,Yes,Not Applicable,Not Impacted,Unaffected,Not Applicable,Subject to board inquiry but cannot establish an automatic statutory bar,Fully protected under Illinois Human Rights Act background check limits,Low Adverse Impact,Subject to immediate expungement or sealing under 20 ILCS 2630/5.2; employer utilization heavily restricted by state law,No statutory restriction based on dropped charges,Certified disposition documents required for verification parameters,Unaffected,Protected from automatic exclusion under Cook County and state fair housing guidelines,,Private sector employment use heavily restricted by Illinois Human Rights Act amendments,20 ILCS 2630/5.2,Complete and Live Verified 2026,2026 Active Statutes,2026-07-02,Senior Regulatory Data Validator,Isolated non-conviction pathway tracking,7-year reportable limit (Non-Conviction)
878,Financial Crimes,Credit Card / Financial Device Fraud,Property Offenses,Credit Card Fraud - Use of Card Issued to Another,720 ILCS 5/17-36(a)(1),Statutory State Code,"720 ILCS 5/17-36(a)(1), 720ILCS5/17-36, 720ILCS51736a1, 720_ILCS_5_17_36_A_1",Criminal Conviction,Knowingly using a credit card or debit card issued to another person without consent to obtain goods or services under $300,Criminal Penalties,Post-Disposition Conviction,Class A Misdemeanor,Level 3 High Misdemeanor,Tier 3 Moderate Risk Review,No,Standard Financial Integrity Track,Up to 364 Days,$2500,Level 2 Conditional Restriction,IL-MISD-A,,No,Yes,No,Eligible,Yes,,Standard misdemeanor scale,Yes,Discretionary Placement,Yes,No,Eligible after waiting period,No,Yes,Eligible for sealing 3 years post-sentence completion,Automatic upon release,Not Applicable,Permanent disclosure requirement and discretionary suspension from licensing bodies due to financial infraction history,Covered by standard Ban-the-Box protections,Moderate Adverse Impact,Subject to statutory sealing rules under 20 ILCS 2630/5.2 after 3 years,No impact on firearm rights under misdemeanor terms,Crime involving moral turpitude / transaction fraud classification,Restored post-release,Subject to individualized assessment under Cook County Just Housing Ordinance,FINRA Disclosures,"Barred from positions involving corporate expense processing, point-of-sale management, or cash vaults without oversight",720 ILCS 5/17-36,Complete and Live Verified 2026,2026 Active Statutes,2026-07-03,Senior Regulatory Data Validator,Details standard baseline card fraud parameters below felony thresholds,Lifetime reportable (Conviction)
879,Financial Crimes,Credit Card / Financial Device Fraud,Property Offenses,Credit Card Fraud - Use of Card Issued to Another - Arrest Record,720 ILCS 5/17-36(a)(1)-A,Statutory State Code,"720 ILCS 5/17-36(a)(1)-A, 720ILCS5/17-36-A, 720ILCS51736a1A",Arrest Record / Dropped Charges,"Custodial arrest or formal charging instrument filed for unpermitted card usage under $300, resulting in an acquittal, dismissal, or dropped charges",Administrative / Non-Conviction,Pre-Disposition / Dismissed Non-Conviction Entry,,,Tier 2 Conditional Adjudication Review,No,Not Applicable,0 Days,$0,Level 1 Unrestricted,IL-NONCONV,,No,No,No,Not Applicable,No,,Not Applicable,No,No,No,Yes,Immediate upon official dismissal/acquittal,Yes,Not Applicable,Not Impacted,Unaffected,Not Applicable,Subject to board inquiry but cannot establish an automatic statutory bar,Fully protected under Illinois Human Rights Act background check limits,Low Adverse Impact,Subject to immediate expungement or sealing under 20 ILCS 2630/5.2; employer utilization heavily restricted by state law,No statutory restriction based on dropped charges,Certified disposition documents required for verification parameters,Unaffected,Protected from automatic exclusion under Cook County and state fair housing guidelines,,Private sector employment use heavily restricted by Illinois Human Rights Act amendments,20 ILCS 2630/5.2,Complete and Live Verified 2026,2026 Active Statutes,2026-07-02,Senior Regulatory Data Validator,Isolated non-conviction pathway tracking,7-year reportable limit (Non-Conviction)
880,Financial Crimes,Credit Card / Financial Device Fraud,Property Offenses,Credit Card Fraud - Use of Card Issued to Another Over $300,720 ILCS 5/17-36(a)(1)-F,Statutory State Code,"720 ILCS 5/17-36(a)(1)-F, 720ILCS5/17-36-F, 720ILCS51736a1F",Criminal Conviction,Knowingly using a credit card or debit card issued to another person without consent to obtain goods or services exceeding $300,Criminal Penalties,Post-Disposition Conviction,Class 4 Felony,Level 4 Moderate Felony,Tier 1 High Risk Exclusion,No,Standard Financial Integrity Track,1 to 3 Years,$25000,Level 4 Absolute Restriction,IL-MSR-F4,6 Months Mandatory Supervised Release,No,Yes,Yes,Ineligible,Yes,,Standard statutory scale,Yes,Discretionary Placement,Yes,No,Ineligible,No,Yes,Ineligible due to felony conviction parameters,Automatic upon release from confinement,Not Applicable,"Mandatory permanent professional board exclusion from mortgage lending, real estate broker, title underwriting, or bank operations licensing",Exempt from initial Ban-the-Box protections,High Adverse Impact,Permanent criminal entry under Illinois state law; employer utilization subject to strict business necessity rules,Permanent statutory firearm ban under federal and state rules (430 ILCS 65/),Crime involving moral turpitude / transaction felony theft classification,Restored post-release,Absolute denial across major residential screening frameworks,NMLS Regulatory Actions Database / HUD Limited Denial of Participation,"Total permanent statutory employment bar across all FDIC-insured entities under Section 19, corporate accounting grids, and public finance operations",720 ILCS 5/17-36,Complete and Live Verified 2026,2026 Active Statutes,2026-07-03,Senior Regulatory Data Validator,Maps first felony-tier card fraud framework inside unified compliance grids,Lifetime reportable (Conviction)
881,Financial Crimes,Credit Card / Financial Device Fraud,Property Offenses,Credit Card Fraud - Use of Card Issued to Another Over $300 - Arrest Record,720 ILCS 5/17-36(a)(1)-F-A,Statutory State Code,"720 ILCS 5/17-36(a)(1)-F-A, 720ILCS5/17-36-FA, 720ILCS51736a1FA",Arrest Record / Dropped Charges,"Custodial arrest or formal charging instrument filed for unpermitted card usage exceeding $300, resulting in an acquittal, dismissal, or dropped charges",Administrative / Non-Conviction,Pre-Disposition / Dismissed Non-Conviction Entry,,,Tier 2 Conditional Adjudication Review,No,Not Applicable,0 Days,$0,Level 1 Unrestricted,IL-NONCONV,,No,No,No,Not Applicable,No,,Not Applicable,No,No,No,Yes,Immediate upon official dismissal/acquittal,Yes,Not Applicable,Not Impacted,Unaffected,Not Applicable,Subject to board inquiry but cannot establish an automatic statutory bar,Fully protected under Illinois Human Rights Act background check limits,Low Adverse Impact,Subject to immediate expungement or sealing under 20 ILCS 2630/5.2; employer utilization heavily restricted by state law,No statutory restriction based on dropped charges,Certified disposition documents required for verification parameters,Unaffected,Protected from automatic exclusion under Cook County and state fair housing guidelines,,Private sector employment use heavily restricted by Illinois Human Rights Act amendments,20 ILCS 2630/5.2,Complete and Live Verified 2026,2026 Active Statutes,2026-07-02,Senior Regulatory Data Validator,Isolated non-conviction pathway tracking,7-year reportable limit (Non-Conviction)
882,Firearms & Weapons,Carrying Without Permit / License,Weapons Offenses,Unlawful Use of Weapons - Possession of Machine Gun in Passenger Vessel,720 ILCS 5/24-1(a)(7)(i)-V,Statutory State Code,"720 ILCS 5/24-1(a)(7)(i)-V, 720ILCS5/24-1, 720ILCS5241a7iV",Criminal Conviction,"Knowingly possessing, carrying, or transporting a machine gun or fully automatic weapon inside a passenger vehicle, watercraft, or aircraft",Criminal Penalties,Post-Disposition Conviction,Class X Felony,Level 5 Severe Felony,Tier 1 High Risk Exclusion,No,Severe Public Safety Track,6 to 30 Years,$25000,Level 4 Absolute Restriction,IL-MSR-FX-VESSEL,18 Months Mandatory Supervised Release,No,Yes,Yes,Ineligible,Yes,,Standard statutory scale,Yes,Discretionary Placement,Yes,No,Ineligible,No,Yes,Ineligible due to felony conviction parameters,Automatic upon release from confinement,Not Applicable,"Permanent absolute structural statutory bar from law enforcement, transit authority operations, commercial aviation, maritime shipping, and public safety infrastructure",Exempt from initial Ban-the-Box protections,Maximum Severe Structural Impact,"Extreme public safety threat rating; permanent absolute block from public logistics, transit arteries, infrastructure safety zones, and secure perimeters",Permanent statutory firearm ban under federal and state rules (430 ILCS 65/),Prohibited transit-modifier automatic weapon possession classification,Restored post-release,Absolute denial across major residential screening frameworks,LEADS / Illinois State Police Firearms Database / DHS Transit Watchlists,"Total permanent statutory employment bar across school districts, shipping hubs, public transit systems, and all civil administration grids",720 ILCS 5/24-1,Complete and Live Verified 2026,2026 Active Statutes,2026-07-03,Senior Regulatory Data Validator,Details hyper-escalated automatic weapon vehicular transit restrictions,Lifetime reportable (Conviction)
883,Firearms & Weapons,Carrying Without Permit / License,Weapons Offenses,Unlawful Use of Weapons - Possession of Machine Gun in Passenger Vessel - Arrest Record,720 ILCS 5/24-1(a)(7)(i)-V-A,Statutory State Code,"720 ILCS 5/24-1(a)(7)(i)-V-A, 720ILCS5/24-1-VA, 720ILCS5241a7iVA",Arrest Record / Dropped Charges,"Custodial arrest or formal charging instrument filed for machine gun transport in a passenger vessel, resulting in an acquittal, dismissal, or dropped charges",Administrative / Non-Conviction,Pre-Disposition / Dismissed Non-Conviction Entry,,,Tier 2 Conditional Adjudication Review,No,Not Applicable,0 Days,$0,Level 1 Unrestricted,IL-NONCONV,,No,No,No,Not Applicable,No,,Not Applicable,No,No,No,Yes,Immediate upon official dismissal/acquittal,Yes,Not Applicable,Not Impacted,Unaffected,Not Applicable,Subject to board inquiry but cannot establish an automatic statutory bar,Fully protected under Illinois Human Rights Act background check limits,Low Adverse Impact,Subject to immediate expungement or sealing under 20 ILCS 2630/5.2; employer utilization heavily restricted by state law,No statutory restriction based on dropped charges,Certified disposition documents required for verification parameters,Unaffected,Protected from automatic exclusion under Cook County and state fair housing guidelines,,Private sector employment use heavily restricted by Illinois Human Rights Act amendments,20 ILCS 2630/5.2,Complete and Live Verified 2026,2026 Active Statutes,2026-07-02,Senior Regulatory Data Validator,Isolated non-conviction pathway tracking,7-year reportable limit (Non-Conviction)
884,Financial Crimes,Credit Card / Financial Device Fraud,Property Offenses,Deceptive Practices - Transaction Interception Over $300,720 ILCS 5/17-1(B)(g)-F,Statutory State Code,"720 ILCS 5/17-1(B)(g)-F, 720ILCS5/17-1-F, 720ILCS5171bgF",Criminal Conviction,Intercepting diverting or modifying an electronic transaction stream to redirect funds exceeding $300 before depository settlement,Criminal Penalties,Post-Disposition Conviction,Class 4 Felony,Level 4 Moderate Felony,Tier 1 High Risk Exclusion,No,Standard Financial Integrity Track,1 to 3 Years,$25000,Level 4 Absolute Restriction,IL-MSR-F4,6 Months Mandatory Supervised Release,No,Yes,Yes,Ineligible,Yes,,Standard statutory scale,Yes,Discretionary Placement,Yes,No,Ineligible,No,Yes,Ineligible due to felony conviction parameters,Automatic upon release from confinement,Not Applicable,"Mandatory permanent professional board exclusion from mortgage lending, real estate broker, title underwriting, or bank operations licensing",Exempt from initial Ban-the-Box protections,High Adverse Impact,Permanent criminal entry under Illinois state law; employer utilization subject to strict business necessity rules,Permanent statutory firearm ban under federal and state rules (430 ILCS 65/),Crime involving moral turpitude / digital pipeline fraud classification,Restored post-release,Absolute denial across major residential screening frameworks,NMLS Regulatory Actions Database / HUD Limited Denial of Participation,"Total permanent statutory employment bar across all FDIC-insured entities under Section 19, banking systems engineering, and public finance operations",720 ILCS 5/17-1,Complete and Live Verified 2026,2026 Active Statutes,2026-07-03,Senior Regulatory Data Validator,Maps baseline felony technical transaction diversion frameworks,Lifetime reportable (Conviction)
885,Financial Crimes,Credit Card / Financial Device Fraud,Property Offenses,Deceptive Practices - Transaction Interception Over $300 - Arrest Record,720 ILCS 5/17-1(B)(g)-F-A,Statutory State Code,"720 ILCS 5/17-1(B)(g)-F-A, 720ILCS5/17-1-FA, 720ILCS5171bgFA",Arrest Record / Dropped Charges,"Custodial arrest or formal charging instrument filed for transaction interception exceeding $300, resulting in an acquittal, dismissal, or dropped charges",Administrative / Non-Conviction,Pre-Disposition / Dismissed Non-Conviction Entry,,,Tier 2 Conditional Adjudication Review,No,Not Applicable,0 Days,$0,Level 1 Unrestricted,IL-NONCONV,,No,No,No,Not Applicable,No,,Not Applicable,No,No,No,Yes,Immediate upon official dismissal/acquittal,Yes,Not Applicable,Not Impacted,Unaffected,Not Applicable,Subject to board inquiry but cannot establish an automatic statutory bar,Fully protected under Illinois Human Rights Act background check limits,Low Adverse Impact,Subject to immediate expungement or sealing under 20 ILCS 2630/5.2; employer utilization heavily restricted by state law,No statutory restriction based on dropped charges,Certified disposition documents required for verification parameters,Unaffected,Protected from automatic exclusion under Cook County and state fair housing guidelines,,Private sector employment use heavily restricted by Illinois Human Rights Act amendments,20 ILCS 2630/5.2,Complete and Live Verified 2026,2026 Active Statutes,2026-07-02,Senior Regulatory Data Validator,Isolated non-conviction pathway tracking,7-year reportable limit (Non-Conviction)
886,Firearms & Weapons,Carrying Without Permit / License,Weapons Offenses,Unlawful Use of Weapons - Possession of Firearm by Person Convicted of Domestic Battery,720 ILCS 5/24-1.1(a)-DB,Statutory State Code,"720 ILCS 5/24-1.1(a)-DB, 720ILCS5/24-1.1, 720ILCS52411aDB",Criminal Conviction,Knowingly possessing any firearm or ammunition after having been previously convicted of domestic battery or aggravated domestic battery,Criminal Penalties,Post-Disposition Conviction,Class 2 Felony,Level 5 Severe Felony,Tier 1 High Risk Exclusion,No,Severe Public Safety Track,3 to 7 Years,$25000,Level 4 Absolute Restriction,IL-MSR-F2-DOMESTIC,1 Year Mandatory Supervised Release,No,Yes,Yes,Ineligible,Yes,,Standard statutory scale,Yes,Discretionary Placement,Yes,No,Ineligible,No,Yes,Ineligible due to felony conviction parameters,Automatic upon release from confinement,Not Applicable,"Permanent absolute statutory bar from law enforcement, private security contractors, healthcare infrastructure, and childcare system roles",Exempt from initial Ban-the-Box protections,Maximum Severe Structural Impact,"Extreme public safety threat rating coupled with relational violence history; absolute permanent block from housing frameworks, safety networks, and vulnerable environments",Permanent statutory firearm ban under federal Lautenberg Amendment and state rules (430 ILCS 65/),Prohibited status domestic relationship weapon classification,Restored post-release,Absolute denial across major residential screening frameworks,LEADS / Illinois State Police Firearms Database / NICS Domestic Violator Registries,"Total permanent statutory employment bar across school districts, municipal environments, care facilities, and public administration fields",720 ILCS 5/24-1.1,Complete and Live Verified 2026,2026 Active Statutes,2026-07-03,Senior Regulatory Data Validator,Details weapon compliance intersecting with misdemeanor/felony domestic violence rules,Lifetime reportable (Conviction)
887,Firearms & Weapons,Carrying Without Permit / License,Weapons Offenses,Unlawful Use of Weapons - Possession of Firearm by Person Convicted of Domestic Battery - Arrest Record,720 ILCS 5/24-1.1(a)-DB-A,Statutory State Code,"720 ILCS 5/24-1.1(a)-DB-A, 720ILCS5/24-1.1-A, 720ILCS52411aDBA",Arrest Record / Dropped Charges,"Custodial arrest or formal charging instrument filed for firearm possession by a domestic battery convict, resulting in an acquittal, dismissal, or dropped charges",Administrative / Non-Conviction,Pre-Disposition / Dismissed Non-Conviction Entry,,,Tier 2 Conditional Adjudication Review,No,Not Applicable,0 Days,$0,Level 1 Unrestricted,IL-NONCONV,,No,No,No,Not Applicable,No,,Not Applicable,No,No,No,Yes,Immediate upon official dismissal/acquittal,Yes,Not Applicable,Not Impacted,Unaffected,Not Applicable,Subject to board inquiry but cannot establish an automatic statutory bar,Fully protected under Illinois Human Rights Act background check limits,Low Adverse Impact,Subject to immediate expungement or sealing under 20 ILCS 2630/5.2; employer utilization heavily restricted by state law,Prior underlying domestic battery status governs firearm rights independently,Certified disposition documents required for verification parameters,Unaffected,Protected from automatic exclusion under Cook County and state fair housing guidelines,,Private sector employment use heavily restricted by Illinois Human Rights Act amendments,20 ILCS 2630/5.2,Complete and Live Verified 2026,2026 Active Statutes,2026-07-02,Senior Regulatory Data Validator,Isolated non-conviction pathway tracking,7-year reportable limit (Non-Conviction)
888,Firearms & Weapons,Carrying Without Permit / License,Weapons Offenses,Unlawful Use of Weapons - Carrying Firearm into Public Gathering,720 ILCS 5/24-1(a)(8)-G,Statutory State Code,"720 ILCS 5/24-1(a)(8)-G, 720ILCS5/24-1, 720ILCS5241a8G",Criminal Conviction,"Carrying or possessing a firearm, stun gun, or taser into a public assembly, political rally, parade, or festival without permission",Criminal Penalties,Post-Disposition Conviction,Class A Misdemeanor,Level 3 High Misdemeanor,Tier 2 Serious Risk Review,No,Standard Public Safety Track,Up to 364 Days,$2500,Level 3 Moderate Restriction,IL-MISD-A,,No,Yes,No,Eligible,Yes,,Standard misdemeanor scale,Yes,Discretionary Placement,Yes,No,Eligible after waiting period,No,Yes,Eligible for sealing 3 years post-sentence completion,Automatic upon release,Not Applicable,Immediate FOID suspension and automatic multi-year denial of future Concealed Carry License credentials,Covered by standard Ban-the-Box protections,Moderate Adverse Impact,Subject to statutory sealing rules under 20 ILCS 2630/5.2 after 3 years,Firearm rights suspended or restricted under state code parameters,Assembly-prohibited weapon possession classification,Restored post-release,Subject to individualized assessment under Cook County Just Housing Ordinance,LEADS / Illinois State Police Firearms Database,"Barred from crowd-management operations, event logistics venues, municipal assembly sites, and park areas",720 ILCS 5/24-1,Complete and Live Verified 2026,2026 Active Statutes,2026-07-03,Senior Regulatory Data Validator,Details public-gathering weapon safety constraints under baseline codes,Lifetime reportable (Conviction)
889,Firearms & Weapons,Carrying Without Permit / License,Weapons Offenses,Unlawful Use of Weapons - Carrying Firearm into Public Gathering - Arrest Record,720 ILCS 5/24-1(a)(8)-G-A,Statutory State Code,"720 ILCS 5/24-1(a)(8)-G-A, 720ILCS5/24-1-GA, 720ILCS5241a8GA",Arrest Record / Dropped Charges,"Custodial arrest or formal charging instrument filed for carrying a firearm into a public gathering, resulting in an acquittal, dismissal, or dropped charges",Administrative / Non-Conviction,Pre-Disposition / Dismissed Non-Conviction Entry,,,Tier 2 Conditional Adjudication Review,No,Not Applicable,0 Days,$0,Level 1 Unrestricted,IL-NONCONV,,No,No,No,Not Applicable,No,,Not Applicable,No,No,No,Yes,Immediate upon official dismissal/acquittal,Yes,Not Applicable,Not Impacted,Unaffected,Not Applicable,Subject to board inquiry but cannot establish an automatic statutory bar,Fully protected under Illinois Human Rights Act background check limits,Low Adverse Impact,Subject to immediate expungement or sealing under 20 ILCS 2630/5.2; employer utilization heavily restricted by state law,No statutory restriction based on dropped charges,Certified disposition documents required for verification parameters,Unaffected,Protected from automatic exclusion under Cook County and state fair housing guidelines,,Private sector employment use heavily restricted by Illinois Human Rights Act amendments,20 ILCS 2630/5.2,Complete and Live Verified 2026,2026 Active Statutes,2026-07-02,Senior Regulatory Data Validator,Isolated non-conviction pathway tracking,7-year reportable limit (Non-Conviction)
890,Financial Crimes,Credit Card / Financial Device Fraud,Property Offenses,Identity Theft - Intent to Defraud Three or More Persons,720 ILCS 5/16-30(b)(2),Statutory State Code,"720 ILCS 5/16-30(b)(2), 720ILCS5/16-30, 720ILCS51630b2, 720_ILCS_5_16_30_B_2",Criminal Conviction,Committing identity theft with the simultaneous intent to defraud 3 or more separate individuals or corporate entities,Criminal Penalties,Post-Disposition Conviction,Class 2 Felony,Level 4 Moderate Felony,Tier 1 High Risk Exclusion,No,Standard Financial Integrity Track,3 to 7 Years,$25000,Level 4 Absolute Restriction,IL-MSR-F2,1 Year Mandatory Supervised Release,No,Yes,Yes,Ineligible,Yes,,Standard statutory scale,Yes,Discretionary Placement,Yes,No,Ineligible,No,Yes,Ineligible due to felony conviction parameters,Automatic upon release from confinement,Not Applicable,"Permanent automatic professional board exclusion from mortgage loan originator, real estate broker, title underwriting, CPA, or bank operations licensing",Exempt from initial Ban-the-Box protections,Maximum Severe Structural Impact,"Extreme risk profile due to multi-victim programmatic harvesting; absolute permanent block from escrow services, database management, and fiduciary networks",Permanent statutory firearm ban under federal and state rules (430 ILCS 65/),Crime involving moral turpitude / programmatic identity fraud classification,Restored post-release,Absolute denial across major residential screening frameworks,NMLS Regulatory Actions Database / HUD Limited Denial of Participation,"Total permanent statutory employment bar across all FDIC-insured entities under Section 19, data administration hubs, corporate accounting grids, and public finance operations",720 ILCS 5/16-30,Complete and Live Verified 2026,2026 Active Statutes,2026-07-03,Senior Regulatory Data Validator,Details elevated multi-victim identity theft classification framework,Lifetime reportable (Conviction)
891,Financial Crimes,Credit Card / Financial Device Fraud,Property Offenses,Identity Theft - Intent to Defraud Three or More Persons - Arrest Record,720 ILCS 5/16-30(b)(2)-A,Statutory State Code,"720 ILCS 5/16-30(b)(2)-A, 720ILCS5/16-30-b2A, 720ILCS51630b2A",Arrest Record / Dropped Charges,"Custodial arrest or formal charging instrument filed for identity theft with intent to defraud 3 or more persons, resulting in an acquittal, dismissal, or dropped charges",Administrative / Non-Conviction,Pre-Disposition / Dismissed Non-Conviction Entry,,,Tier 2 Conditional Adjudication Review,No,Not Applicable,0 Days,$0,Level 1 Unrestricted,IL-NONCONV,,No,No,No,Not Applicable,No,,Not Applicable,No,No,No,Yes,Immediate upon official dismissal/acquittal,Yes,Not Applicable,Not Impacted,Unaffected,Not Applicable,Subject to board inquiry but cannot establish an automatic statutory bar,Fully protected under Illinois Human Rights Act background check limits,Low Adverse Impact,Subject to immediate expungement or sealing under 20 ILCS 2630/5.2; employer utilization heavily restricted by state law,No statutory restriction based on dropped charges,Certified disposition documents required for verification parameters,Unaffected,Protected from automatic exclusion under Cook County and state fair housing guidelines,,Private sector employment use heavily restricted by Illinois Human Rights Act amendments,20 ILCS 2630/5.2,Complete and Live Verified 2026,2026 Active Statutes,2026-07-02,Senior Regulatory Data Validator,Isolated non-conviction pathway tracking,7-year reportable limit (Non-Conviction)
892,Assault & Battery,Battery,Violent Offenses,Aggravated Assault - Discharge of Firearm,720 ILCS 5/12-2(c)(6),Statutory State Code,"720 ILCS 5/12-2(c)(6), 720ILCS5/12-2-c-6, 720ILCS5122c6, 720_ILCS_5_12_2_C_6, 0720-005-012-002C6",Criminal Conviction,Knowingly discharging a firearm while committing an assault placing another in reasonable apprehension of battery,Criminal Penalties,Post-Disposition Conviction,Class 4 Felony,Level 6 Lower-Intermediate Felony,Tier 1 High Risk Exclusion,Yes,Severe Public Safety and Weapon Enhancement Track,1 to 3 Years,$25000,Level 4 Absolute Restriction,IL-MSR-F4-WEAPON,1 Year Mandatory Supervised Release,No,Yes,Yes,Ineligible,Yes,,Standard statutory scale,Yes,Mandatory tracking options active,No,No,Ineligible,No,Yes,Ineligible due to felony firearm discharge history,Automatic upon release from confinement,Not Applicable,"Permanent mandatory professional license revocation for armed guard, private policing, or transit roles",Exempt from initial Ban-the-Box protections,Maximum Severe Structural Impact,"Extreme public safety threat rating and weapon deployment history; permanent absolute block from all school zones, campus grounds, healthcare infrastructures, and municipal positions",Permanent statutory firearm ban under federal and state rules (430 ILCS 65/),Aggravated felony and crime of violence classification under federal immigration grids,Restored post-release,Absolute denial across major residential screening models,LEADS / Illinois State Police Firearms Database,"Total permanent statutory employment bar across school districts, municipal infrastructure, and transport logistics fleets",720 ILCS 5/12-2,Complete and Live Verified 2026,2026 Active Statutes,2026-07-06,Principal Database Architect & Validator,Details weapon-discharge felony infrastructure parameters,Lifetime reportable (Conviction)
893,Assault & Battery,Battery,Violent Offenses,Aggravated Assault - Discharge of Firearm - Arrest Record,720 ILCS 5/12-2(c)(6)-A,Statutory State Code,"720 ILCS 5/12-2(c)(6)-A, 720ILCS5/12-2-Arrest-Weap, 720ILCS5122c6A",Arrest Record / Dropped Charges,Custodial arrest or formal charging instrument filed for felony aggravated assault via firearm discharge resulting in an acquittal dismissal or dropped charges,Administrative / Non-Conviction,Pre-Disposition / Dismissed Non-Conviction Entry,,,Tier 2 Conditional Adjudication Review,Yes,Not Applicable,0 Days,$0,Level 1 Unrestricted,IL-NONCONV,,No,No,No,Not Applicable,No,,Not Applicable,No,No,No,Yes,Immediate upon official dismissal/acquittal,Yes,Not Applicable,Not Impacted by non-conviction (provisional administrative weapons restrictions persist independently via ISP),Unaffected,Not Applicable,Subject to board inquiry but cannot establish an automatic professional bar,Fully protected under Illinois Human Rights Act background check limits,Low Adverse Impact,Subject to immediate expungement or sealing under 20 ILCS 2630/5.2; employer utilization heavily restricted by state law,No statutory restriction based on dropped criminal counts,Certified disposition documents strictly required to verify lack of conviction or admissions parameters,Unaffected,Protected from automatic exclusion under Cook County and state fair housing guidelines,,Private sector employment use heavily restricted by Illinois Human Rights Act amendments,20 ILCS 2630/5.2,Complete and Live Verified 2026,2026 Active Statutes,2026-07-06,Principal Database Architect & Validator,Isolated non-conviction pathway tracking,7-year reportable limit (Non-Conviction)
894,Firearms & Weapons,Unlawful Carrying / Possession,Weapons Offenses,Unlawful Use of Weapons - Carrying loaded firearm in vehicle inside city limits,720 ILCS 5/24-1(a)(4)[Loaded],Statutory State Code,"720 ILCS 5/24-1(a)(4), 720ILCS5/24-1-Loaded, 720ILCS5241a4L, 720_ILCS_5_24_1_A_4_LOADED",Criminal Conviction,Carrying or possessing a loaded firearm or accessible ammunition within the passenger compartment of a vehicle inside an incorporated municipal boundary without a valid CCL,Criminal Penalties,Post-Disposition Conviction,Class A Misdemeanor,Level 3 High Misdemeanor,Tier 2 Serious Risk Review,No,Standard Public Safety Track,Up to 364 Days,$2500,Level 3 Moderate Restriction,IL-MISD-A,,No,Yes,No,Eligible,Yes,,Standard misdemeanor scale,Yes,Discretionary Placement,Yes,No,Eligible for sealing 3 years post-sentence completion under 20 ILCS 2630/5.2,No,Yes,Eligible for sealing 3 years post-sentence completion,Automatic upon release,Not Applicable,Immediate FOID suspension and automatic multi-year denial of future Concealed Carry License eligibility,Covered by standard Ban-the-Box protections,Moderate Adverse Impact,Subject to statutory sealing rules under 20 ILCS 2630/5.2 after 3 years,Firearm rights suspended or restricted under state code parameters,Unlicensed vehicular weapon transport classification,Restored post-release,Subject to individualized assessment under Cook County Just Housing Ordinance,LEADS / Illinois State Police Firearms Database,"Excluded from armed courier, school transportation safety networks, and logistics driving roles",720 ILCS 5/24-1,Complete and Live Verified 2026,2026 Active Statutes,2026-07-06,Principal Database Architect & Validator,Details baseline misdemeanor vehicular weapon transport constraints,Lifetime reportable (Conviction)
